date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:48	4560/4560	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2013:24:47%20GMT	https://maraviyainfotech.com/projects/erratum/main/particles/login.html	C:/Users/User/Desktop/embreve/login/maraviyainfotech.com/projects/erratum/main/particles/login.html	(from )
10:24:50	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-639c57d8-b0dba2d43a306af2;gz%22	https://maraviyainfotech.com/robots.txt		(from )
10:24:50	516/516	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:24:49%20GMT	https://maraviyainfotech.com/projects/erratum/main/particles/assets/images/favicon.png	C:/Users/User/Desktop/embreve/login/maraviyainfotech.com/projects/erratum/main/particles/assets/images/favicon.png	(from https://maraviyainfotech.com/projects/erratum/main/particles/login.html)
10:24:51	195704/195704	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Sep%202023%2013:24:49%20GMT	https://maraviyainfotech.com/projects/erratum/main/particles/assets/css/bootstrap.css	C:/Users/User/Desktop/embreve/login/maraviyainfotech.com/projects/erratum/main/particles/assets/css/bootstrap.css	(from https://maraviyainfotech.com/projects/erratum/main/particles/login.html)
10:24:52	22675/22675	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Sep%202023%2013:24:50%20GMT	https://maraviyainfotech.com/projects/erratum/main/particles/assets/css/login.css	C:/Users/User/Desktop/embreve/login/maraviyainfotech.com/projects/erratum/main/particles/assets/css/login.css	(from https://maraviyainfotech.com/projects/erratum/main/particles/login.html)
10:24:52	73572/73572	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Sep%202023%2013:24:50%20GMT	https://maraviyainfotech.com/projects/erratum/main/particles/assets/css/fontawesome.css	C:/Users/User/Desktop/embreve/login/maraviyainfotech.com/projects/erratum/main/particles/assets/css/fontawesome.css	(from https://maraviyainfotech.com/projects/erratum/main/particles/login.html)
10:24:53	2577/2577	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:24:52%20GMT	https://maraviyainfotech.com/projects/erratum/main/particles/assets/images/logo-2.png	C:/Users/User/Desktop/embreve/login/maraviyainfotech.com/projects/erratum/main/particles/assets/images/logo-2.png	(from https://maraviyainfotech.com/projects/erratum/main/particles/login.html)
10:24:54	3191/3191	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2013:24:52%20GMT	https://maraviyainfotech.com/projects/erratum/main/particles/forgot.html	C:/Users/User/Desktop/embreve/login/maraviyainfotech.com/projects/erratum/main/particles/forgot.html	(from https://maraviyainfotech.com/projects/erratum/main/particles/login.html)
10:24:54	5416/5416	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2013:24:53%20GMT	https://maraviyainfotech.com/projects/erratum/main/particles/signup.html	C:/Users/User/Desktop/embreve/login/maraviyainfotech.com/projects/erratum/main/particles/signup.html	(from https://maraviyainfotech.com/projects/erratum/main/particles/login.html)
10:24:55	89475/89475	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2015%20Sep%202023%2013:24:53%20GMT	https://maraviyainfotech.com/projects/erratum/main/particles/assets/js/jquery-3.5.1.min.js	C:/Users/User/Desktop/embreve/login/maraviyainfotech.com/projects/erratum/main/particles/assets/js/jquery-3.5.1.min.js	(from https://maraviyainfotech.com/projects/erratum/main/particles/login.html)
